"log_id","reason","resource","role","status","timestamp","tool","user"
"388f8417-68e4-42ca-a607-3bcc8ac1a3df","null","customers/1004","admin","ALLOWED","2026-07-19T14:41:28.524252Z","UPDATE_CUSTOMER","admin"
"77457f00-97f7-4661-b2e8-f03484ca464d","null","customers?account_status=active&country=India&membership=Gold","support_agent","ALLOWED","2026-07-19T13:34:02.388631Z","GET_CUSTOMER","lakshita"
"1fc8ac11-a608-4a84-9763-984d31382790","null","customers/1001","support_agent","ALLOWED","2026-07-19T12:44:39.521376Z","GET_CUSTOMER","lakshita"
"75c66fbb-ea76-46c5-ada5-44531f678565","Role does not have permission","customers/1004","support_agent","DENIED","2026-07-19T14:59:59.167442Z","DELETE_CUSTOMER","support"
"451e41ee-92cd-4010-82f3-9c92e64ac3b2","null","customers/1005","admin","ALLOWED","2026-07-20T03:09:28.575349Z","DELETE_CUSTOMER","admin"
"a8129085-e5dc-4ed5-af42-a6ce0be9a535","null","customers/1001","admin","ALLOWED","2026-07-20T02:45:31.018657Z","GET_CUSTOMER","admin"
"db63d2d3-e88b-4847-944d-22a14bb3bebc","Role does not have permission","1001","support_agent","DENIED","2026-07-19T11:24:43.475500Z","DELETE_CUSTOMER","lakshita"
"ec2459fa-f6d8-46d7-a9a0-f722d0851149","Role does not have permission","customers/1004","support_agent","DENIED","2026-07-19T16:26:36.432890Z","DELETE_CUSTOMER","support"
"1f78aed5-0228-46b7-967c-111304c1db5d","null","customers/1004","sales_agent","ALLOWED","2026-07-19T14:50:14.549338Z","UPDATE_CUSTOMER","sales"
"4ba5773b-f495-49b9-bb19-b59d625ed260","Role does not have permission","customers/1003","support_agent","DENIED","2026-07-20T03:10:00.756276Z","UPDATE_CUSTOMER","support"
"38ed973d-fb95-4ca3-821a-21408639afbe","null","customers?occupation=Software Engineer","support_agent","ALLOWED","2026-07-19T13:34:15.525146Z","GET_CUSTOMER","lakshita"
"a40945c4-f155-4097-83df-3ef507cc9cd2","null","customers/1001","support_agent","ALLOWED","2026-07-19T12:42:18.279759Z","GET_CUSTOMER","lakshita"
"0e4f1077-1b2d-4d94-8c88-f2495536ac67","null","customers/1002","support_agent","ALLOWED","2026-07-20T03:11:10.875302Z","GET_CUSTOMER","support"
"02c96f86-728a-4fcd-a473-538299c91e32","CRM returned 401","customers/1001","support_agent","FAILED","2026-07-19T18:07:44.811714Z","GET_CUSTOMER","support"
"ef09a0d3-9e14-4f2a-8d4c-fbc6798bb445","Role does not have permission","customers/1002","support_agent","DENIED","2026-07-20T03:11:58.763194Z","DELETE_CUSTOMER","support"
"c8ce0fba-f72e-445d-8f3c-7f3c85d83bb6","Role does not have permission","customers/1004","manager","DENIED","2026-07-19T17:12:21.165468Z","UPDATE_CUSTOMER","manager"
"5c31aa68-b592-4d2b-86b7-fbc2b27dc326","null","customers/1009","support_agent","ALLOWED","2026-07-20T03:10:51.774482Z","GET_CUSTOMER","support"
"ed319c03-2c91-442a-adf5-98044952f6fb","null","customers/1009","support_agent","ALLOWED","2026-07-19T14:26:51.814688Z","GET_CUSTOMER","support"
"915063ca-2bde-4aeb-a327-c5f89396c49c","Role does not have permission","customers/1004","manager","DENIED","2026-07-19T14:42:00.398708Z","UPDATE_CUSTOMER","manager"
"07270bad-0d03-4719-a4cc-237488f9466e","null","1001","support_agent","ALLOWED","2026-07-19T11:42:27.391136Z","GET_CUSTOMER","lakshita"
